id,question,answerable,expected_answer,expected_keywords,actual_answer_snippet,latency_ms,citation_count,sources_returned,error
Q1,What data does Server A store?,True,Customer Data,Server A|Customer Data,"Server A stores Customer Data, which must be encrypted when stored in company systems and requires Encryption Control EC-1.",11056.0,3,sample_audit.csv|sample_policy.pdf,
Q2,Which encryption control must Server A use?,True,EC-1,Server A|EC-1,"Server A must use Encryption Control EC-1, as it stores Customer Data which is required to be encrypted at rest.",11370.3,2,01_Data_Protection_Policy.pdf|sample_policy.pdf,
Q3,Who is responsible for Server A?,True,Security Team,Security Team|Server A,The Security Team is responsible for Server A.,10345.4,2,sample_audit.csv|sample_policy.pdf,
Q4,What is the encryption status of Server A?,True,Disabled,Server A|Disabled,"Server A's encryption status is Disabled. It stores Customer Data and is required to use Encryption Control EC-1, but the audit record shows encryption_status: Disabled and audit_status: Failed under ",12483.8,2,sample_audit.csv|sample_policy.pdf,
Q5,What was the audit result for Server A?,True,Failed,Server A|Failed,"The audit result for Server A was 'Failed.' The record shows that under control EC-1, Server A had encryption at rest disabled for Customer Data, resulting in a failed audit status.",10870.9,1,sample_audit.csv|04_Audit_Findings.csv,
Q6,Why is Server A a compliance risk?,True,"Server A stores Customer Data but encryption is disabled, so it violates EC-1 and creates a compliance risk.",Server A|Customer Data|encryption|EC-1,"Server A is a compliance risk because it stores Customer Data and is required to comply with Encryption Control EC-1, which mandates encryption at rest. An audit of Server A recorded a failed status u",11782.9,2,sample3.pdf|sample_policy.pdf,
Q7,What severity should be assigned when encryption is disabled on a system storing Customer Data?,True,High compliance risk,High|compliance risk,"If encryption is disabled on a system storing Customer Data, the issue must be classified as a High compliance risk. This is explicitly stated for Server A, which stores Customer Data and is required ",12082.9,2,01_Data_Protection_Policy.pdf|sample3.pdf,
Q8,Which team should coordinate remediation if Server A fails an encryption audit?,True,Security Team,Security Team,The Security Team should coordinate remediation with the system owner if Server A fails an encryption audit under Control EC-1.,13177.6,2,sample_policy.pdf|sample3.pdf,
Q9,When is remediation for Server A considered complete?,True,After encryption is enabled and a follow-up audit confirms that EC-1 is satisfied.,encryption|enabled|follow-up audit|EC-1,Remediation for Server A is considered complete only after encryption is enabled on the system and a follow-up audit confirms that Encryption Control EC-1 is satisfied.,10795.9,1,sample_policy.pdf|sample3.pdf,
Q10,Which server has Public Data and passed its audit?,True,Server B,Server B|Public Data|Passed,"Server B has Public Data and passed its audit. According to the audit record: system Server B, data_type Public Data, encryption_status Enabled, control EC-2, audit_status Passed.",10550.3,1,sample_audit.csv|04_Audit_Findings.csv,
Q11,Who is the CEO of the company?,False,NOT_FOUND,,The available evidence does not contain sufficient information to answer this question.,8902.6,3,01_Data_Protection_Policy.pdf|03_System_Inventory.csv,
Q12,What is the company's annual revenue?,False,NOT_FOUND,,The available evidence does not contain sufficient information to answer this question.,9232.3,3,04_Audit_Findings.csv|03_System_Inventory.csv,
Q13,Where is the company headquarters?,False,NOT_FOUND,,The available evidence does not contain sufficient information to answer this question.,8880.1,3,03_System_Inventory.csv,
Q14,What is Server A's IP address?,False,NOT_FOUND,,The available evidence does not contain sufficient information to answer this question.,10166.3,3,sample_audit.csv|sample_policy.pdf,
